"","text","emotion","polarity"
"1","covid question from clients what should my company do if an employee tests negative for covid but has textbook sym…","disgust","negative"
"2","travel update
from am on mondayjanuaryyou must have proof of a negative coronavirus covid test to…","disgust","negative"
"3","somebody gotta give the shots butof those folks are caring for the recordof hospitalized co…","joy","positive"
"4","yesyesyesyesyesyesyesyes
if you followon twitter you know his wonkiness for all things health care…","joy","positive"
"5","sign up for our newsletter atto learn when and how to receive the covid vaccine…","anger","positive"
"6","apparently it’s going to be deep cleaned and repainted covid was in there and so were the trumps ugh","surprise","negative"
"7","biden to raise federal minimum wage toan hour in t covid relief plan","joy","positive"
"8","biden lays outtrillion covid relief package withstimulus checks","joy","positive"
"9","we shouldn’t do anything apparently covid is the cure for everything else even old ag…","fear","positive"
"10","i was born in orange county california anaheim on october nd
i was young…","surprise","positive"
"11","get in the know tustin covid vaccine townhall tonight","joy","neutral"
"12","was he really sick he just had to have covid pneumonia not the normal one he is dramatic with his histor…","fear","neutral"
"13","i know i was paying attention to the early covid videos being leaked out of china…","surprise","positive"
"14","what they said about lockdowns before","surprise","positive"
"15","covid virus avoids asymptomatic idiots","anger","negative"
"16","honestly this was me pre covid","sadness","positive"
"17","ok heresa tip i go to the wet section wipe the bag on the cucumbers or parsly and then its eas…","sadness","positive"
"18","and the chinese communist party knew nothing about covid and alerted the who as soon as it found out","joy","positive"
"19","i just want to make out with someone hahaha i hate covid","anger","neutral"
"20","many diversity visa immigrants are working on producingdelivering food to americans during covid 
dv…","joy","positive"
"21","bidenstrillion covid relief plan calls for stimulus checks unemployment support and more…","joy","positive"
"22","biden urges focus on covid and economy as trump trial looms","anger","neutral"
"23","while record cases of covid and deaths in his state occur everyday hes off to a political fund ra…","joy","negative"
"24","not only that he knew he had covid at the time i really hope they di…","anger","positive"
"25","i want to preorder the newpokemonsnap as a cartridge copy but i also am concerned about covid especia…","fear","neutral"
"26","regulator refuses to approve mass daily covid testing at english schoolscoronavirus","fear","positive"
"27","i got happy when he got covid","joy","positive"
"28","many diversity visa immigrants are working on producingdelivering food to americans during covi…","joy","positive"
"29","nysi stochastics crossed abovetoday doing so has led to continuation of trend for multiple weeksout ofti…","surprise","positive"
"30","gigs and covid
as the effect of covid riseswe regret to inform the general public that our entertainers will…","fear","negative"
"31","looking forward to hearing the crowd reaction the next time you ever appear in public or better yet may…","fear","neutral"
"32","he might be right but remember covid is good for moderna share price","joy","positive"
"33","deans list during a covid semester should count twice congrats","fear","negative"
"34","i am fully convinced that these movie productions were still going on during the peak of covid because there is toooooooo much content out","joy","positive"
"35","meanwhile something else in us is also in high gear covid the country is flooded with virus with …","anger","negative"
"36","when covid is “over” i will be renting out a cabin in gatlinburg with my best friends and their friends and we are…","anger","positive"
"37","work for home to avoid covidearnweekly without sending money to anyone ask me how or inbox me directly","joy","negative"
"38","wcsd looks for volunteers to help immunize thousands of employees","fear","positive"
"39","usually emails from school are about covid tonight it’s a blizzard next week grasshoppers","fear","positive"
"40","seriously stop going to these these states are reporting record covid cases daily and hospitals are at capacity…","surprise","negative"
"41","well i do not like hypothetical situations but saying covid made zero…","joy","positive"
"42","disney during a pandemic yeah we will keep it open we like money 
people go to disneyland and spread covid thr…","joy","positive"
"43","new connect care bytesblog postingcovid and connect careaccessing public health act forms","joy","positive"
"44","she took covid vaccine a week ago she is from us and a very real person
god 
<U+0001F631><U+0001F631><U+0001F97A><U+0001F97A>","joy","positive"
"45","couldn’t agree more i have been out of work since april due to covid","anger","positive"
"46","i need to know if covid is planning on going away anytime soon","sadness","neutral"
"47","i also write to random folks on facebook insta linkedin stocktwitsim retired an…","disgust","positive"
"48","sep stday virus mimicked covid tested twice negative still ran a fever diagnosed with acute…","fear","negative"
"49","colorado covid cases increase todeaths tocolorado ncovrecombinomics inc","joy","positive"
"50","covid rahh <U+0001F629><U+0001F62D> god has hidden us from this deadly pestilence amp we should just be thanking him nothing to quarrel ab…","fear","negative"
"51","why soon as i drank that soda from mc donald’s my stomach started hurting and i had to go to the bathroom do i see…","anger","positive"
"52","watching dc become a fortress i feel bad that joe biden and kamala harris will not be able to celebrate their inaug…","sadness","positive"
"53","jokes radiocanada head travelled to florida despite federal travel advisory","anger","negative"
"54","postcovid lungs worse than the worst smokers lungs surgeon sayscbs news","fear","negative"
"55","some a dem elderly people ya no fraid a covid or a done dem just done wid life","joy","positive"
"56","then covid became serious in early march and thens when i had to chill lol <U+0001F62D>","fear","negative"
"57","covid infection gives some immunity but virus can still be spread study findsreuters","fear","negative"
"58","california department of public health","fear","positive"
"59","nearly a year ago trump sent a mercy ship and you reneged
sending covid patients into
nursing homes pusshead…","sadness","positive"
"60","welp after completely emotionally wrecking my sixyearold by letting her watch the phantom of the opera were all…","fear","negative"
"61","biden lays outtrillion covid relief package withstimulus checks","joy","positive"
"62","id guess three days if it ties in with a covid test but","surprise","positive"
"63","did you lost this much quantum of soldiers in any war yetchina has killedmore thanyouramericans by…","disgust","negative"
"64","daily updatesus 

casesk lwk
day avglw 

deathslw …","surprise","positive"
"65","i wanna go to the mountains for my bday<U+0001F97A>
if y’all have ever stayed in a nice cabin send me that link i won’t be…","anger","positive"
"66","how has covid changed the payment sector the pandemic has significantly accelerated the shift towards digital pa…","fear","positive"
"67","friend commented a few weeks ago wed be benefitting for decades from the knowledge gained with the…","joy","neutral"
"68","was telling my mom i might drop off my grandma a meal or something cause covid and she told me that my grandmother…","anger","positive"
"69","another u turn arriving soon","disgust","positive"
"70","see the appointment is for you not for covid so it can’t come in","surprise","positive"
