"","x"
"1","COVID Question from Clients: What should my company do if an employee tests negative for COVID but has textbook sym… https://t.co/j4jKMQY23r"
"2","TRAVEL UPDATE:
From 4am on Monday 18 January 2021, you must have proof of a negative coronavirus (COVID-19) test to… https://t.co/V2htWjbqom"
"3","@samesfandiari Somebody gotta give the shots but ~1/3 of those folks are caring for the record # of hospitalized CO… https://t.co/ozV8ONKKvb"
"4","YESYESYESYESYESYESYESYES!!!!!
If you follow @ASlavitt on Twitter, you know his wonkiness for all things health care… https://t.co/UKUadLhkRZ"
"5","Sign up for our newsletter at https://t.co/URpm5hWsmX to learn when and how to receive the COVID-19 vaccine.… https://t.co/hj8UjXsr2b"
"6","@Rschooley Apparently it’s going to be deep cleaned and re-painted. Covid was in there and so were the Trumps, ugh."
"7","Biden to raise federal minimum wage to $15 an hour in $1.9T Covid relief plan https://t.co/UaLBeolT3R"
"8","Biden lays out $1.9 trillion Covid relief package with $1,400 stimulus checks https://t.co/nD5MmrdpXz via @nbcnews"
"9","@EdwardChampion @NYGovCuomo We shouldn’t do anything. Apparently Covid is the cure for everything else, even old ag… https://t.co/UavjaMtkcy"
"10","@rosru924 @Angel_Wings1717 @EsquireRN I was born in Orange County California, Anaheim, on October 22nd.
I was young… https://t.co/nLefpj51Du"
"11","Get in the know, Tustin! COVID-19 vaccine townhall tonight! https://t.co/NmmS4lI22l"
"12","@News24 Was he really sick? He just had to have Covid pneumonia not the normal one. He is dramatic. With his histor… https://t.co/qnDFJ9jweM"
"13","@FitFantastic1 @LisaRivera2207 I know! I was paying attention to the early COVID videos being leaked out of China,… https://t.co/vZb02m7msP"
"14","What They Said About Lockdowns Before 2020 https://t.co/u5Er77H8pF"
"15","COVID virus avoids asymptomatic idiots. https://t.co/unvUjNJnM7"
"16","@ellesanto @OMaraRules Honestly this was me PRE covid."
"17","@mamaginger0219 Ok here's  a tip, I go to the wet section, wipe the bag on the cucumbers or parsly and then its eas… https://t.co/m5tzCPdWQG"
"18","@HarryYorke1 And the Chinese Communist Party knew nothing about Covid and alerted the WHO as soon as it found out."
"19","i just want to make out with someone hahaha i hate covid"
"20","Many ""Diversity visa"" immigrants are working on producing/delivering food to Americans during COVID-19. 
#DV2021… https://t.co/iuExBPgePA"
"21","Biden's $1.9 trillion #Covid relief plan calls for stimulus checks, unemployment support and more… https://t.co/9AKWeSjkYQ"
"22","Biden urges focus on Covid and economy as Trump trial looms https://t.co/zx3vyffJ9h via @financialtimes"
"23","@DWUhlfelderLaw While record cases of COVID and deaths in his State occur everyday, he's off to a Political Fund Ra… https://t.co/4S5v41ER3D"
"24","@RationalDis @BobSaca95654264 @TheLaurenChen Not only that, he knew he had Covid at the time. I really hope they di… https://t.co/Qc1fBXSIpX"
"25",".@GameStop I want to pre-order the #NewPokemonSnap as a cartridge copy but I also am concerned about COVID, especia… https://t.co/VajHuW1yR4"
"26","Regulator refuses to approve mass daily Covid testing at English schools | Coronavirus  https://t.co/kfaRBjDmAy"
"27","@bridget_joy_ I got happy when he got covid!!!!"
"28","@immigration2021 Many ""Diversity visa"" immigrants are working on producing/delivering food to Americans during COVI… https://t.co/GIvoBABAjW"
"29","NYSI stochastics crossed above 20 today. Doing so has led to continuation of trend for multiple weeks 5 out of 6 ti… https://t.co/TMJJ3AX9FV"
"30","GIGS AND COVID-19
As the effect of Covid-19 rises,we regret to inform the general public that our entertainers will… https://t.co/hVrrskVLf5"
"31","@donlemon Looking forward to hearing the crowd reaction the next time you ever appear in public. Or better yet, may… https://t.co/Ke1aKFdY9j"
